,AAPL,ABBV,ABT,AFL,AMZN,CCI,CVX,DLR,DRE,GOOGL,GS,JPM,MSFT,NEE,XOM,MVP,Date
78,9365.91195286211,9265.86854158705,10815.104971368251,6623.818507526059,12985.161689459392,11294.408015850679,7202.721891385811,12404.376267676425,9645.226533834066,9490.66374749283,7613.186997252315,6412.4823029782665,10870.00643539683,9957.878912411805,6226.71274334139,9258.118910558534,2020-04-23
79,9636.301961594929,9440.930141579813,10828.919744145629,6860.113396740475,13043.445732965902,11368.976964433657,7220.147754861879,12529.6476913244,9893.279794800745,9531.205107050424,7697.9952871821915,6507.17382038281,11068.484871882772,9898.413995843026,6266.838679740797,9383.322544808194,2020-04-24
80,9643.113206654984,9565.168462354746,10931.383407902773,7045.3685033508045,12858.256694217442,11523.039752716366,7444.195294516719,12880.40742267337,10302.856390889088,9488.349393118524,7982.429397322608,6787.6619002469215,11036.77910081899,10059.464916568779,6296.933132040352,9496.411682251317,2020-04-27
81,9486.80375830244,9347.187856389188,10529.587663112781,7143.6672637977745,12523.162667824057,11344.35465570739,7460.791807178848,12873.726127159593,10441.304492298646,9202.622608377063,8133.344951240625,6835.724898688861,10767.913813868121,9881.896243512527,6444.540270477238,9361.07679042689,2020-04-28
82,9798.400032923444,9460.131157683487,10623.992416631341,7408.317107049056,12840.451580362815,10934.928534333942,7851.630658807797,12411.057563190203,10239.400598468486,10020.830898220129,8264.689463425226,7020.086434366735,11251.10945525348,9709.696123514024,6801.375740143123,9532.58242912187,2020-04-29
83,10005.10791417,9283.939021715856,10602.11785526004,7039.697656766386,13388.604991377377,11215.617271983876,7634.221091125585,12484.55053951493,10008.653762785892,10054.577295107012,7977.210629827725,6869.440913128011,11363.98289041722,9544.102726380605,6659.50158120243,9544.291557252887,2020-04-30
84,9844.03246492557,9356.222665609088,10344.231849270007,6922.494872513398,12371.417878970147,11003.166400134309,7421.790793788125,12186.403939555874,9604.845975125576,9835.223436873777,7702.344702512998,6689.383363190502,11069.75337364866,9376.032359520657,6182.2872089885595,9343.199575594504,2020-05-01
85,9983.313800627979,9245.538712886517,10341.929679925557,6758.0338315323015,12533.49875028943,11096.02550123219,7587.752121856071,12173.877306921804,9463.514019645856,9876.884094079787,7655.8084802582725,6609.756343179595,11340.519961873346,9501.568915523298,6431.642569966732,9450.16579602965,2020-05-04
86,10133.151838698412,9641.969941702431,10710.338259911317,6790.169590330371,12543.293957623795,11162.856101937949,7708.073831468444,12360.113799933619,9495.240815568455,10071.89821260982,7754.5343683446445,6599.713344917171,11462.270006648265,9501.98226890427,6424.477302277534,9514.817072154428,2020-05-05
87,10237.698318794744,9647.616589753743,10485.839418725516,6480.15081105942,12724.370693849482,10903.272046992135,7472.4090494962265,12502.087825202629,9498.12576992632,10045.09544846298,7694.515887643068,6475.609798813843,11575.14247422866,9194.74728670682,6304.098946404431,9448.826022780988,2020-05-06
